Manzara sahane evet ama servis rezalet.	SERVICE#GENERAL AMBIENCE#GENERAL
Begendim diyebilirim.	RESTAURANT#GENERAL
Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.	AMBIENCE#GENERAL FOOD#STYLE_OPTIONS RESTAURANT#PRICES FOOD#QUALITY
hamburgerini deneyelim dedik kendisi 35tl sunum berbat hamburgeri lezzetli degil saoganlar karamelize degil sadece patates kizartmasi guzel onu da mc donaldsta yeyin.	FOOD#QUALITY SERVICE#GENERAL FOOD#QUALITY
dün gidip yeniden kahvalti etme firsati buldugum yer.	RESTAURANT#GENERAL
iki kisi olarak bir kahvalti tabagina ek bir sepet patates ve bir menemen söyledik.	
ben arkadasim ve 2.5 yasindaki oglum rahatlikla doyduk.	FOOD#STYLE_OPTIONS
bir kahvalti tabagi ile gelen çay ücretsizdi.	DRINKS#STYLE_OPTIONS
yukaridaki masaya ek olarak 3 bardak çay ve su dahil 42 tl ücret ödedik.	RESTAURANT#PRICES
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.	FOOD#PRICES FOOD#PRICES FOOD#PRICES
Sani Istanbul'un dört bir kösesine yayilmis durumda.	RESTAURANT#GENERAL
Fakat benim çok yakinimda olmasina ragmen çok sik gitmeyi tercih etmiyorum.	RESTAURANT#GENERAL
Etine eyvallah fakat fiyat konusunda çok uçuklar.	RESTAURANT#PRICES FOOD#QUALITY
Biraz daha ortamini sik hale dönüstürürlerse daha fazla müsteri çekeceklerine eminim.	AMBIENCE#GENERAL
Bu kadar çok ve lezzetli çay çeşidini bir arada bulmak çok güzel.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Karaköyün dar sokak aralarında, sokağa koyduğu masalarıyla insanı farklı bir atmosfere sürüklüyor.	AMBIENCE#GENERAL LOCATION#GENERAL
Servis çok özenli ve güzel.	SERVICE#GENERAL
Müşterisi genç bir kitle.	RESTAURANT#GENERAL
Kül tablalarının dolu ve pis durması bana Starbucks'ı hatırlattı.	SERVICE#GENERAL
Manzara'ya tabikide yıldızlı 5 !	AMBIENCE#GENERAL
Dekorasyon da bir o kadar güzel.	AMBIENCE#GENERAL
Eğer sabırlıysanız ve denize biraz daha yakın olayım diyorsanız iyi şanslar ne kadar bekleyeceğiniz bir muamma.	RESTAURANT#GENERAL
Tek kötü yanı bu olabilir burasının benim açımdan.	RESTAURANT#GENERAL
Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.	AMBIENCE#GENERAL RESTAURANT#PRICES
Aşk-ı Memnu'yu tatmayan kalmasın!	FOOD#QUALITY
Burdaysanız mutlaka deneyin Kuş Yuvası yenmesi biraz zor bir tatlı ama o da güzel bir alternatif.	FOOD#QUALITY
yazın dısarıda yer bulması epey zor.	AMBIENCE#GENERAL
fakat kızartma combosu bir harika.	FOOD#QUALITY
sürekli kalabalik nedeniyle servis oldukca yavas.	SERVICE#GENERAL
bazen bir hesabın gelmesi bile yarım saat sürebiliyor.	SERVICE#GENERAL
Sadece ün yapmak işte hepsi bundan ibaret.	RESTAURANT#GENERAL
Parasıyla almıyormuş gibi davran panpa konsept esinmesi bülent ersoyun fevkinde	AMBIENCE#GENERAL
3 arkadaş yaz başı gittik,döner kısma oturduk 7-8 dakika sipariş almaya gelen olmadı.	SERVICE#GENERAL
Masaları silen bir personel vardı bakarmısınız dedik,baktı ama bakmasamıydı.	
Bi dakka bekleyin işim var görüyorsunuz tarzı bir fırça.	SERVICE#GENERAL
Evet yemekler lezzetli ortam guzel fakat hafta sonu gittigimiz icin midir bilmemm cok kalabalikti.	AMBIENCE#GENERAL FOOD#QUALITY
Calisanlar pek ilgili degildi hesabi tam 17482 garsona soylememize ragmen yarim saat sonra geldi abartisiz.	SERVICE#GENERAL SERVICE#GENERAL
içecek çeşitliliği konusunda biraz yetersiz ancak fiyat olarak tartışmasız çevresine göre çok çok ucuz.	RESTAURANT#PRICES DRINKS#STYLE_OPTIONS
civarda sıcaktan bunalıp serinlemek istiyorsanız boğazın kenarındaki masalardan birine oturup canlı müzik eşliğinde soğuk birşeyler içebilirsiniz.	RESTAURANT#GENERAL
Türk kahvesi de fena değil.	DRINKS#QUALITY
Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.	AMBIENCE#GENERAL FOOD#STYLE_OPTIONS SERVICE#GENERAL RESTAURANT#PRICES
Arap turistlerin ugrak mekani.	
Lezzet eh iste.	FOOD#QUALITY
Ozetle manzara disinda bisey yok.	AMBIENCE#GENERAL RESTAURANT#GENERAL
Happy hour icin vazgecilmez nokta.	RESTAURANT#GENERAL
Bence burgerleri ve pizzasi Kanyon'da yenebilecek acik ara en iyi.	FOOD#QUALITY
Zincirler icinde tek tercih edilebilir yer.	RESTAURANT#GENERAL
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama.	FOOD#QUALITY
Neden bu kadar popüler oldugunu anlamiyorum.	RESTAURANT#GENERAL
Hatta bazi pizzalarda dominosun benzerleri tercih edilebilir.	
Num Num gerçegi - Yediginiz herseyin hakkini verdikleri bir gerçek.	FOOD#QUALITY
Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.	FOOD#QUALITY AMBIENCE#GENERAL
Manzaraya da sufleye de bayildik.	AMBIENCE#GENERAL FOOD#QUALITY
Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Sufle 13,5 lira, çay 4,5 lira.	DRINKS#PRICES FOOD#PRICES
Levent çarsinin içinde bulunan express daha genç bir görünüme sahip.	
Özellikle paket servisi için açilmis.	
Burada sulu yemek yok.	FOOD#STYLE_OPTIONS
Gençler ve ögrenciler için fiyatlari daha uygun tutmuslar.	RESTAURANT#PRICES
Lahmacun döner burger pide ve köfte çesitleri mevcut.	FOOD#STYLE_OPTIONS
Iftar menüsü 80 TL.	FOOD#PRICES
Ezogelin çorba çok tuzluydu.	FOOD#QUALITY
Ve erken servis edildigi için iftara kadar sogudu.	SERVICE#GENERAL
Içli köfte ve pirzola güzeldi.	FOOD#QUALITY
Servis elemanlari yetersiz oldugu için yavasti.	SERVICE#GENERAL
Her seyden öte böyle bir mekana bu tuvaletler hiç yakismiyor	AMBIENCE#GENERAL
Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !	DRINKS#STYLE_OPTIONS SERVICE#GENERAL
Hayal kırıklığı	RESTAURANT#GENERAL
Bir kaç kez yemek yeme fırsatı bulduğum mekan.	
Civardaki restorantlardan pek bir farkı yok, servisi yavaş.	SERVICE#GENERAL
Fiyatlar da aynı şekilde civardakilerle hemen hemen aynı.	
Her deniz ürününü karıştırıp önünüze getiriyorlar.	FOOD#STYLE_OPTIONS
Açıkçası hicbirinin tadını tam alamiyorsunuz.	FOOD#STYLE_OPTIONS
Balik ve deniz ürünlerini çok sevmeyenler Balik KFCsi kıvamında olduğu ve Kızartma bol olduğu için sevebilirler.	FOOD#STYLE_OPTIONS
Sadece soya soslu somon başarılıydı.	FOOD#QUALITY FOOD#QUALITY
Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.	RESTAURANT#GENERAL AMBIENCE#GENERAL FOOD#STYLE_OPTIONS
Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...	FOOD#QUALITY FOOD#QUALITY
Garsonu bu kadar uyardigimizda ise sadece iletirim dedi.	SERVICE#GENERAL
Özür bile dilemediler.	SERVICE#GENERAL
Machiato dediğim halde yerine espresso servis eden işletme.	SERVICE#GENERAL
Boş bardak, fincan, tabak masada bekliyor, toplayan yok.	SERVICE#GENERAL
Menüdeki çeşitleri sorunca, o yok, bu yok, onun yerine şunu verelim, bunu verelim.	FOOD#STYLE_OPTIONS
Kirli, iyi yıkanmamış bardakla çay servisi.	SERVICE#GENERAL
Mado'nun genel hastalıklarının bir araya gelmiş hali gibi.	RESTAURANT#GENERAL
Manzara satıyor burada da.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Yoksa Mado'ların kötü bir örneği.	RESTAURANT#GENERAL
Haklarını yemeyelim, iki günlük gazete bulup okuyabildik.	
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...	FOOD#QUALITY FOOD#STYLE_OPTIONS
Mekan çok küçük hemen doluyor.	AMBIENCE#GENERAL
Öglenleri yer bulamadigimiz çok oluyor.	SERVICE#GENERAL
Genelde ürünler lezzetli ve fiyat da uygun .	FOOD#QUALITY FOOD#PRICES
Öglen için tercih edilebilir ama 12yi çok geçirmemek gerekiyor...	SERVICE#GENERAL RESTAURANT#GENERAL
Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.	AMBIENCE#GENERAL FOOD#QUALITY DRINKS#QUALITY AMBIENCE#GENERAL
Mantarlı pizzaya ( porchini ve kestane) sucuk eklettim.	
Malzemeler güzel ama hamuru çok sevemedim.	FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS
Sanki hazır gibi geldi.	
Genel olarak mekan şirin.	AMBIENCE#GENERAL
Fiyatlar upper crust ayarında ama lezzet ve ölçü farklı.	
Karşılaştırırsak; bence upper crust hamur ve ölçü olarak daha iyi.	
Alkol olsa daha tutulabilirler.	DRINKS#STYLE_OPTIONS
Çünkü bulundukları lokasyonda rakip çok.	
Hayatımın en pahalı yemeğini yediğim restoran.	FOOD#PRICES
Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.	AMBIENCE#GENERAL FOOD#QUALITY
Yemek porsiyonları çok küçük.	FOOD#STYLE_OPTIONS
Vale hizmeti var.	SERVICE#GENERAL
Hayatınızda bir defa gidilebilecek bir yer.	
Rock'n Roll burger yedim.	FOOD#QUALITY
Burger ekmegi yumusamis dagiliyordu.	FOOD#QUALITY
Icinde ki sos da pek bi istah acici degildi.	FOOD#QUALITY
Ortami guzel gidilecekse onun icin gidelebilir.	AMBIENCE#GENERAL
Mekan enteresan bir havaya sahip , haftaici aksamlari abiler ellerinde nargilelerle çayla muhabbetin dibine vururken.	AMBIENCE#GENERAL
Hafta sonu sabahlari ozellikle evli ve cocuklu ciftlerin kahvalti merkezi oluyor.	RESTAURANT#GENERAL
Yemeklerini ve caylarini begendigim.	FOOD#QUALITY DRINKS#QUALITY
Fiyat olarak gayet mantikli bir isletme.	RESTAURANT#PRICES
Tavsiyemdir	RESTAURANT#GENERAL
Kendilerine özel biraları mevcut olsaydı belki daha güzel olurdu ama standart biralardan içmek durumunda kaldık.	DRINKS#STYLE_OPTIONS
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.	SERVICE#GENERAL SERVICE#GENERAL AMBIENCE#GENERAL
Yemekler de farklı tadlar var.	FOOD#STYLE_OPTIONS
Cuma iş çıkışı arkadaşlarla takılmalık bir mekan.	AMBIENCE#GENERAL
Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Citys'in alt katındayken tanıdık sevdik.	RESTAURANT#GENERAL
Magnolia'sı ayrı, limonatası ayrı güzel.	FOOD#QUALITY DRINKS#QUALITY
Bir peynirli tostu bile çok özenle sunuyorlar.	SERVICE#GENERAL
Somon ızgarasına 4 puan.	FOOD#QUALITY
Hem sağlıklı hem de doyurucu.	FOOD#QUALITY
Güzel bir öğle yemeği molası.	FOOD#QUALITY
Bahçesi de güzel.	AMBIENCE#GENERAL
Salıncağı bile var.	AMBIENCE#GENERAL
Yemek üzerine de soğuk kahve iyi gidiyor.	DRINKS#QUALITY
Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.	AMBIENCE#GENERAL SERVICE#GENERAL LOCATION#GENERAL AMBIENCE#GENERAL AMBIENCE#GENERAL
Kahvaltı seçenekleri çok iyi.	FOOD#STYLE_OPTIONS
Yemekleri de fena değil.	FOOD#QUALITY
Tüm bu özelikleri göz önüne alınca fiyatlar çok makul geliyor.	RESTAURANT#PRICES
Gece, gündüz, her zaman için öneririm.	RESTAURANT#GENERAL
Özellikle yaz aylarında.	
Besiktaki en hakiki pideci diyebilirim.	FOOD#QUALITY
ben bu yuzden tatli yemegi tercih etmedim.	FOOD#QUALITY
fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.	FOOD#PRICES FOOD#STYLE_OPTIONS
puanimdan sirf yavas yuzunden kisiyorum!	SERVICE#GENERAL RESTAURANT#GENERAL
otobus duraginin hemen karsisinda yeri cok kolay.	LOCATION#GENERAL
kucuk ama hep dolu olan bir pideci.	
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.	FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS SERVICE#GENERAL
servis oldukca yavas.	SERVICE#GENERAL
yavas demek bile az kalir.	SERVICE#GENERAL
az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz.	SERVICE#GENERAL
besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki.	FOOD#STYLE_OPTIONS FOOD#QUALITY
tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.	SERVICE#GENERAL FOOD#STYLE_OPTIONS
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal	SERVICE#GENERAL SERVICE#GENERAL RESTAURANT#PRICES RESTAURANT#GENERAL
Manzarasi icin gidilesi cafe , cok fazla yazacak bisey yok.	AMBIENCE#GENERAL
fiyatlar standart seviyede.	RESTAURANT#PRICES
otopark sorunu yok.	LOCATION#GENERAL
sessiz sakin ve huzurlu bir mekan.	AMBIENCE#GENERAL
Kuru fasulyesi lezzetli.	FOOD#QUALITY
Sutlaci tavsiye edilir.	FOOD#QUALITY
Köftesi de kaliteli.	FOOD#QUALITY
Sade güzel bir yer.	AMBIENCE#GENERAL
Çalışanlar ilgili kibar.	SERVICE#GENERAL
Ortaköye yolu düşen ugramali.	RESTAURANT#GENERAL
Park sorunu ciddi.	LOCATION#GENERAL
Valesi var gerçi.	SERVICE#GENERAL
Pazar sabahları brunch dışında seçeneğiniz yok.	FOOD#STYLE_OPTIONS
Brunch çeşitleri ehh.	FOOD#STYLE_OPTIONS
Masaya istenen sucuklu yumurtanın sucuğuna extra ücret istenmesi ayıp.	FOOD#PRICES
Mekanın lokasyonu on numara ama rezervasyonsuz deniz kenarı masa bulmanız imkansız.	LOCATION#GENERAL
Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.	FOOD#PRICES FOOD#PRICES
Hisarüstü'ndeki diğer mekanlara nazaran büyük olmasıyla fark yaratıyor ama eğer kalabalık bir grup değilseniz, Hisarüstü'ndeki diğer yerleri tercih edebilirsiniz.	
En son kabalık bir grup halinde gittiğimizde siparişlerde karışıklık olmuştu malesef.	SERVICE#GENERAL
Tek kelimeyle muhtesem bir lezzet, doner kesimi tam olarak usta isi.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Yagsiz ve cok lezzetli.	FOOD#QUALITY
Yaninda getirdikleri tandir lavasi ise bugune kadar yedigim en lezzetli lavas.	FOOD#QUALITY
Oturdugunuz gibi siparisiniz aliniyor ve hemen servis yapilmaya baslaniyor.	SERVICE#GENERAL
Ortaya ise salata ve patates kizartmasi getiriyolar.	FOOD#STYLE_OPTIONS
Acik ara en iyi donerci.	RESTAURANT#GENERAL
Big chefs her daim şişirilmiş bir kafedir.	RESTAURANT#GENERAL
Çünkü size oluru olmayan fiyatlar sunar.	RESTAURANT#PRICES
Bunun yanı sıra şube açtığı semtler ortadadır.	
İsim yapmıştır çünkü pahalı olduğu için kaliteli algısı yaratır .	RESTAURANT#PRICES
Bir ayvalık tostuna 20 tl , bir kavanoz tatlıya 20 tl vs. Yazan bu mekana kesinlikle gitmem .	FOOD#PRICES FOOD#PRICES RESTAURANT#GENERAL
Çünkü bu israftan başka bir şey değil benim nazarımda .	RESTAURANT#GENERAL
Böyle mekanları biraz boş bırakmak lazım ki Fiyat skalasını biraz düşük aralığa taşısınlar !	RESTAURANT#PRICES
Tatlilar - Tatlilari çok güzel, tiramisu özellikle yenilmeli ama ana ögün kadar büyük geliyor dikkat!	FOOD#QUALITY FOOD#QUALITY
Unsuz çikolatali pastasi biraz agir, diyet yapanlar bulasmasin!	FOOD#QUALITY
Yemeklerin tadi tuzu yok.	FOOD#QUALITY
Ortam gürültüden ibaret.	AMBIENCE#GENERAL
Garsonlar TV izlemekten size bakmiyor.	SERVICE#GENERAL
Geçin allahaskina baska bir sürü yer var yenebilecek	RESTAURANT#GENERAL
Güzel - Konum olarak çok keyifli bir yer degil ancak çalisirken ögle yemekleri için bazen gidiyoruz.	LOCATION#GENERAL FOOD#QUALITY
Yemeklerin lezzetine inanamayacaksiniz, pastirma ile yapilan Topkapi kebabi çok iyidir.	FOOD#QUALITY FOOD#QUALITY
Koftenin hicbir ozelligi yok.	FOOD#QUALITY
Hizmet yok guleryuz yok.	SERVICE#GENERAL SERVICE#GENERAL
Manzaranin ekmegini yiyorlar.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Masalar dipdibe marketten dondurulmus kofte alin evinizde yiyebilirsiniz.	AMBIENCE#GENERAL
Inanin fark yok.	
Siradan - Siradan kebaplari olan mekan...	FOOD#QUALITY
Kebap için kesinlikle gidilmeli denemez ama tatlilari inanilmaz güzel.	FOOD#QUALITY FOOD#QUALITY
Megerse meshur Çavusoglu tatlinin sahiplerimis isletmecileri.	
Hizmetten cok memnun kaldik.	SERVICE#GENERAL
Herkes cok ilgili ve guler yuzluydu.	SERVICE#GENERAL
Yogunluktan dolayi yer bulma konusunda biraz sikinti yasamis olsak da sansimiza en guzel yeri kaptik balkonda :	
D Somon izgara ve etli quesadilla sipariz ettik.	FOOD#QUALITY FOOD#QUALITY
Somon izgaranin altinda olan kuskonmazli ispanakli sote mukemmeldi, yemek ise genel olarak guzeldi.	FOOD#QUALITY FOOD#QUALITY
Etli quesadillanin ise ozellikle eti cok guzeldi.	FOOD#QUALITY
Mutlaka bir daha gelicez :	RESTAURANT#GENERAL
Sevdiğim bir mekan.	RESTAURANT#GENERAL
Müzikler, bahçesi, menüsü güzel.	FOOD#STYLE_OPTIONS AMBIENCE#GENERAL AMBIENCE#GENERAL
Ferah bir ortamı var ve kalabalık buluşmalar için de uygun bir yer.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Çalışanları da güler yüzlü.	SERVICE#GENERAL
Girerken böyle bir yerle karşılaşacağınızı tahmin etmiyorsunuz konumu nedeniyle.	LOCATION#GENERAL
Sütiş'in Emirgan şubesi gibi bu şubesinin manzarası da çok güzel deniz hemen yanınızda köprü hemen sağ çaprazda :	AMBIENCE#GENERAL
) yemekler güzel fiyatlar da mekana göre gayet uygun.	RESTAURANT#PRICES FOOD#QUALITY
Tavukgöğsü başarılı :	FOOD#QUALITY
Berbat biyer rezervasyon yaptirdigim halde misafirlerime rezil oldum rezalet biyer calisanlarin tavirlari olsun ilgileri herseyi rezalet otesi	RESTAURANT#GENERAL SERVICE#GENERAL
Küçük Ev Express ile mekanist etkinligi ile tanistik.	
Çömlekte ev yapimi yogurtlarini mutlaka deneyin.	FOOD#QUALITY
Eski zamanlar biraktigimiz gerçek yogurdun tadini yakalayacaksiniz.	FOOD#QUALITY
Fiyati da saka gibi.	FOOD#PRICES
3.75 TL.	
Mükellef bir yemek sonrasi ortalama 15-25 TL'ye mekandan çikabilirsiniz.	FOOD#PRICES
Dekorasyon zevkli olmus, özellikle mekanin ortasina konuslanmis bonsai agaç beni benden aldi.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Evet, bonsai hayraniyim!	
Çok iyi karsilandik ve sonuna kadar el üstünde tutulduk.	SERVICE#GENERAL
Harikasiniz arkadaslar.	RESTAURANT#GENERAL
Böyle devam!	
) Her seyden ufak ufak tattik.	FOOD#QUALITY
Yemeklerde favorilerim döner ve kavurmali pide oldu.	FOOD#QUALITY
Kavurmali pide için tekrar ugrayacagim.	FOOD#QUALITY
Tatlilarda tavuk gögsü gerçekten lezizdi.	FOOD#QUALITY
Irmik helvasinin da tavuk gögsünden eksigi yoktu, sekeri kivamindaydi ve hafifti.	FOOD#QUALITY FOOD#QUALITY
Buraya sık geliyorum, leventte çalışanların da çok tercih ettiği bir yer.	RESTAURANT#GENERAL
Yemekleri eskiden daha güzeldi özellikle mantısı çok başarılıydı.	FOOD#QUALITY FOOD#QUALITY
Ancak her gün çeşit çeşit ev yemeğinin çıkıyor olması çok cazip, ister zeytinyağlılar ister sıcak yemekler insanı her gün fast food yemekten alıkoyuyor.	FOOD#STYLE_OPTIONS
Zeytinyağlı tabağı başarılı, salatalarının da porsiyonu çok büyük tavsiye ederim.	FOOD#QUALITY FOOD#STYLE_OPTIONS
denız kenarı gıbıdır ancak arada bır arsalık mesafe vardır.	
ve oradakı koku olayına bır hal care bulamadıkları ıcın yazık olan mekandır.	AMBIENCE#GENERAL
emırgandakı sutısı mumla aratmaktadır.	
Taksim'de kendi tarzına göre keyifle gidilecek mekanlardan biri.	RESTAURANT#GENERAL
Gündüz ayrı gece ayrı olarak değerlendirebilirim.	
Hizmet kalitesi daha önce Avrupa'da gittiğim şubelere göre burada daha iyi diyebilirim.	
Bu yüzden tip bırakmayı unutmayın :	
) Hamburgeri hoşuma gidiyor ve NY steak de tavsiye edebilirim.	FOOD#QUALITY FOOD#QUALITY
İçecek olarak genelde bira sevdiğim için kokteylleri için bir şey söyleyemeyeceğim.	DRINKS#QUALITY
Afiyetle!	FOOD#QUALITY
Ben artık happy moons u beğenmiyorum.	RESTAURANT#GENERAL
Servisi iyiydi çalışanları güleryüzlü fakat yemeklerinden eskiden aldığım tadı almıyorum.	SERVICE#GENERAL SERVICE#GENERAL FOOD#QUALITY
Ben bi tek çilekli limonatasını beğendim, çok tavsiye etmem	RESTAURANT#GENERAL DRINKS#QUALITY
Öyle bir manzara ve konum için olabilecek son mekan filizler olmalıydı.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Zaman kaybı!	RESTAURANT#GENERAL
Yemekleri fena degil.	FOOD#QUALITY
Ozellikle zeytinyaglilari guzel.	FOOD#QUALITY
Galata cevresinde zeytinyagli veya ev yemegivari yiyebilecegimiz nadir yerlerden oldugu icin tercih ediyorduk.	FOOD#QUALITY
Ama dunyanin en yavas evlere servis hizmetini sunuyorlar.	SERVICE#GENERAL
Hele de ogle saatinde 50 ile 70 dakika beklemeye hazir olun.	SERVICE#GENERAL
Ogle saatleri degilse de 25-30 dk beklemeyi goze almak gerekiyor.	SERVICE#GENERAL
En son soyledigimiz firinda makarnasi da kuru geldikten sonra bir daha siparis vermemeye karar verdik.	FOOD#QUALITY
Manzarasi çok güzel , dekorasyonda çok başarılıydı , kahvaltı için gittik kahvaltı güzeldi ama omleti beğenmedim çok tatsızdı.	FOOD#QUALITY FOOD#QUALITY AMBIENCE#GENERAL AMBIENCE#GENERAL
Geri kalan hersey tazeydi kayısı ve cevizle süslemeleri çok hoşuma gitti kahvaltıya fresh bir hava katmışlar.	SERVICE#GENERAL SERVICE#GENERAL
Kahvaltısı için gidebilir ama garsonlar servis ederken gördüğüm kadarıyla yemek porsiyonları küçüktü ve sunum hoşuma gitmedi .	FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS FOOD#QUALITY
Kısacası manzarası için gidilebilinir bir yer sadece .	RESTAURANT#GENERAL AMBIENCE#GENERAL
İlk Evlilik yıldönümü yemeğimizi burada yemiştik, karşılama gayet güzel kibar çalışanlar.	SERVICE#GENERAL SERVICE#GENERAL
Sunumu beğendik.	SERVICE#GENERAL
Sakin mutlu bir yemekti.	AMBIENCE#GENERAL
Tekrar gitmeyi düşünürüm.	RESTAURANT#GENERAL
Klasik rakı-balık-fasıl üçlemesinden sıkılan, ve mezelere odaklanmak isteyenler için en iyi alternatif.	FOOD#QUALITY
Manzara olarak en iyi seçeneği sunmasa da lakerdası başta olmak üzere bütün mezeleri denemeye değer.	AMBIENCE#GENERAL FOOD#QUALITY FOOD#QUALITY
Fıstıklı peynirli meze, buraya özel bir lezzet.	FOOD#QUALITY
Kişi başı 60 liraya rakınız ve mezelerinizle güzel bir akşam geçirmeniz garanti.	RESTAURANT#PRICES FOOD#QUALITY
Konum itibariyle cok guzel yerde, manzarasi enfes.	AMBIENCE#GENERAL LOCATION#GENERAL
Limonatasi kocaman ve lezzetliydi, "ayvalik tostu"nu yeniden yorumlayarak tamamen farkli bir hale getirmisler, fena degildi.	DRINKS#STYLE_OPTIONS DRINKS#QUALITY FOOD#QUALITY
Ancak mekanin en buyuk sıkıntısı hizmet kalitesi, cok cok yavaslar!	SERVICE#GENERAL
Ki bana gore bir mekanda olmasi gereken en onemli ozellik "hizmet kalitesi" En buyuk kurtaricisi lokasyon ve muhtesem bogaz manzarasi!	AMBIENCE#GENERAL SERVICE#GENERAL LOCATION#GENERAL
Sinirsz kahvalti keyfi için harika bir yer.	FOOD#QUALITY
Manzarasi cok güzel.	AMBIENCE#GENERAL
Garsonlar biraz daha güler yüxlü olabilir.	SERVICE#GENERAL
40 tl kisi basi.	RESTAURANT#PRICES
Zengin bir acik büfe menüsü var.	FOOD#STYLE_OPTIONS
Keyifli bir yer.	RESTAURANT#GENERAL
Son zamanların benim için en büyük hayal kırıklığı.	RESTAURANT#GENERAL
Bu kadar büyük merakla gelip de yediklerimden bu kadar az haz ettiğim başka bir yer olmadı.	FOOD#QUALITY
Garson arkadaşlar, mekanın manzarası, hizmet şahane ama lezzet adına söyleyebileceğim çok şey yok.	AMBIENCE#GENERAL FOOD#QUALITY SERVICE#GENERAL SERVICE#GENERAL
Köprü altı yerleri gibi kalamar koydular önümüze.	FOOD#QUALITY
Bunu yazarken henüz hesap gelmemişti ve değerlendirmemi tamamen bağımsız şekilde yapıyorum.	
Yeşilköy efsanesi burada sürmemiş	RESTAURANT#GENERAL
Yıllar önce keyifli mekan sayısı azken sıklıkla tercih ettiğimiz, mekan sayısı arttıkça da geri plana ittiğimiz mekanlardan.	RESTAURANT#GENERAL
Bahçesi insana huzur veriyordu...	AMBIENCE#GENERAL
Manzara guzel servis rezalet , 3 kere soylemeden getirmiyorlar , iki kere degil 5 kere dusunun gelirken	AMBIENCE#GENERAL SERVICE#GENERAL
Bir yanı benzinlik bir yanı mezarlık manzaralı ama çokta tutan bir cafe.	AMBIENCE#GENERAL RESTAURANT#GENERAL
E5 üstünde olduğu için çabuk direksiyon kırılıp az vakitte çok oturmalık kolaylığı için tercih ettik.	LOCATION#GENERAL
Bahçesi keyifli yemekte çok kötü değildi.	AMBIENCE#GENERAL FOOD#QUALITY
Arkasından içtiğimiz kahve için çok beklesekte fazla beklentisiz bir cafe olduğundan notu 3.5 olarak verdim	SERVICE#GENERAL RESTAURANT#GENERAL
Acik kasarli pide.	
besiktas barbarosta bulunan sampi sabaha kadar acik,gece cani cekenler icin ideal ve paket servisi de var,kapali kasarlisi da cok lezzetli oluyor	FOOD#QUALITY
Pizzalarini fena bulmadim.	FOOD#QUALITY
